huca-00009	 "What the Alberta decision makes me fearful of is that we could, without legislation in place on June the 6th, be in an environment where there is no ability for a person to go to a Superior Court judge and get an exemption. That exemption opportunity ends as of June the 6th." 	some baloney	https://www.huffingtonpost.ca/2016/05/26/baloney-meter-will-exemption-opportunity-for-assisted-dying-end-on-june-6_n_10144674.html?utm_hp_ref=ca-baloney-meter	None	None	Justice Minister Jody Wilson-Raybould	Kristy Kirkup, The Canadian Press	None	Jody Wilson-Raybould's Claim On 'Exemption Opportunity' For Assisted Dying Contains Some Baloney	05/26/2016 11:08 EDT	2016.	['Superior_court', 'Alberta']
huca-00025	 "We have fully restored the interim federal health program for our Syrian refugees who will soon be on their way to Canada. Both the basic benefits and the supplementary benefits will be available to all of them." 	some baloney	https://www.huffingtonpost.ca/2015/12/16/baloney-meter-did-the-government-restore-health-benefits-to-syrian-refugees_n_8817254.html?utm_hp_ref=ca-baloney-meter	None	None	Immigration Minister John McCallum	Stephanie Levitz, The Canadian Press	None	Liberal Claim On Restoring Health Benefits To Syrian Refugees Contains 'Some Baloney'	12/16/2015 08:16 EST	Dec. 9. 2015.	['Canada', 'Syria']
huca-00012	 "The Liberals are failing Canadians by destroying investment confidence in the energy sector in Canada? The reality is this: that under the Liberals more energy investment has been lost than any other time frame in 70 years, $100 billion of energy projects cancelled.'' 	a little baloney	https://www.huffingtonpost.ca/2018/09/07/baloney-meter-theres-a-little-baloney-in-blaming-liberals-for-losing-100b-in-energy-projects_a_23520051/?utm_hp_ref=ca-baloney-meter	None	None	MP Shannon Stubbs	Teresa Wright	None	Baloney Meter: There's 'A Little Baloney' In Blaming Liberals For Losing $100B In Energy Projects	09/07/2018 09:42 EDT	Sept. 4.	['Canada']
huca-00026	 Conservative Leader Stephen Harper.	a lot of baloney	https://www.huffingtonpost.ca/2015/10/06/stephen-harper-says-marijuana-is-infinitely-worse-than-tobacco-is-it_n_8250306.html?utm_hp_ref=ca-baloney-meter	None	None	smoking tobacco is a main risk factor.	Jordan Press, The Canadian Press	None	Harper's Claim Pot Is 'Infinitely Worse' Than Tobacco Contains 'A Lot Of Baloney'	10/06/2015 08:30 EDT	None	['Stephen_Harper']
huca-00037	 Liberal Leader Justin Trudeau, Friday, May 15, 2015.	a little baloney	https://www.huffingtonpost.ca/2015/05/21/baloney-meter-is-economi_n_7350026.html?utm_hp_ref=ca-baloney-meter	None	None	Ralph Goodale.	Stephanie Levitz, The Canadian Press	None	Harper's Economic Record Worst Since The 1930s? There's A 'Little Baloney' To That Claim	05/21/2015 07:30 EDT	2015.	['Justin_Trudeau']
huca-00003	 "The prime minister has broken two promises, two direct promises that put us in this position. One was breaking the promise to renew the environmental assessment process with the (National Energy Board) and secondly a promise to end fossil fuel subsidies. He's broken two promises." 	some baloney	https://www.huffingtonpost.ca/2018/06/01/jagmeet-singh-liberal-environmental-jab-is-some-baloney_a_23448861/?utm_hp_ref=ca-baloney-meter	None	None	Jagmeet Singh	None	None	Jagmeet Singh's Liberal Environmental Jab Is 'Some Baloney'	06/01/2018 12:27 EDT	May 23	['None']
huca-00007	 "If he (Prime Minister Justin Trudeau) is trying to dismantle universal health care by stealth, this is the way to do it: underfund it and have separate agreements with the provinces." 	a lot of baloney	https://www.huffingtonpost.ca/2017/01/12/lots-of-baloney-in-claims-that-bilateral-health-deals-could-harm-overall-system_n_14129736.html?utm_hp_ref=ca-baloney-meter	None	None	Manitoba Health Minister Kelvin Goertzen	Andy Blatchford, The Canadian Press	None	'A Lot Of Baloney' In Claim That Liberals' Bilateral Health Deals Threaten System	01/12/2017 10:13 EST	2017.	['Justin_Trudeau']
huca-00019	 "The issue around budgets, of course, is it's the House of Commons that votes on budgetary measures, and the Senate is, of course, welcome to look at it and make recommendations. But the legitimacy happens from the House of Commons on this."	some baloney	https://www.huffingtonpost.ca/2017/06/29/trudeaus-claim-about-senates-right-to-amend-budget-bills-conta_a_23008018/?utm_hp_ref=ca-baloney-meter	None	None	Prime Minister Justin Trudeau	Joan Bryden	None	Trudeau's Claim About Senate's Right To Amend Budget Bills Contains 'Some Baloney'	06/29/2017 10:08 EDT	06/29/2017 10:08 EDT	['None']
huca-00006	 "We have approved more than 1,200 projects. I would like to tell the member that more than 60 per cent of those projects are currently underway, creating opportunities for Canadians." 	a little baloney	https://www.huffingtonpost.ca/2017/02/09/baloney-meter-have-more-than-60-per-cent-of-infrastructure-projects-begun_n_14656200.html?utm_hp_ref=ca-baloney-meter	None	None	Infrastructure Minister Amarjeet Sohi	Joanna Smith, The Canadian Press	None	Amarjeet Sohi's Claim About Infrastructure Projects Contains 'A Little Baloney'	02/09/2017 09:46 EST	Feb. 7.	['None']
huca-00010	 "We expect the CPPIB, like other Crown corporations, to live up to the highest standards of ethics and behaviour and that is, in fact, exactly what it is doing." 	some baloney	https://www.huffingtonpost.ca/2018/10/18/baloney-meter-morneau-cppib_a_23565098/?utm_hp_ref=ca-baloney-meter	None	None	Finance Minister Bill Morneau during question period Monday in the House of Commons.	Andy Blatchford	None	'Some Baloney' In Bill Morneau Saying Canada Pension Plan Investment Board Has Highest Ethical Standards	10/18/2018 11:49 EDT	None	['None']
huca-00013	 "Trudeau and other politicians must realize the real-life consequences of their words when it comes to immigration. It is not compassionate nor prudent to give these individuals false hope when we know that the majority of the asylum claims before the Immigration and Refugee Board will eventually be rejected.'' 	a lot of baloney	https://www.huffingtonpost.ca/2018/06/29/theres-a-lot-of-baloney-in-michelle-rempels-asylum-seekers-claim_a_23471406/?utm_hp_ref=ca-baloney-meter	None	None	Conservative MP Michelle Rempel.	Teresa Wright	None	There's 'A Lot Of Baloney' In Michelle Rempel's Asylum Seekers Claim	06/30/2018 12:21 EDT	None	['Pierre_Trudeau']
huca-00027	 "I think small businesses should be paying less taxes, we just have to make sure that it's done right ... We have to know that a large percentage of small businesses are actually just ways for wealthier Canadians to save on their taxes and we want to reward the people who are actually creating jobs." Justin Trudeau, in an interview with the CBC's Peter Mansbridge, broadcast on Sept. 8.	a little baloney	https://www.huffingtonpost.ca/2015/09/10/baloney-meter-did-trudeau-unfairly-smear-small-business-owners-as-tax-dodgers_n_8115754.html?utm_hp_ref=ca-baloney-meter	None	None	then that five or 10 could be a large number. So it depends on your frame of reference."	Joan Bryden, The Canadian Press	None	Justin Trudeau's Tax Dodgers Claim About Small Business Contains 'A Little Baloney'	09/10/2015 09:43 EDT	broadcast on Sept. 8.	['Justin_Trudeau', 'Canada', 'Canadian_Broadcasting_Corporation']
huca-00005	 "The (Canada Child Benefit) means more money for nine out of 10 Canadian families, and it means 300,000 fewer kids living in poverty across this country." 	a lot of baloney	https://www.huffingtonpost.ca/2017/07/27/liberal-claim-about-canada-child-benefit-slashing-child-poverty_a_23052522/?utm_hp_ref=ca-baloney-meter	None	None	Prime Minister Justin Trudeau	Jordan Press	None	Liberal Claim About Canada Child Benefit Slashing Child Poverty Rates Contains 'A Lot Of Baloney'	07/27/2017 11:52 EDT	None	['Canada']
huca-00033	 "What we've seen from Mr. Mulcair over the past weeks is an irresponsible promise to eliminate Mr. Harper's deficit, no matter the cost to Canadians, right away. What that means is — since we're in deficit right now — he's not only going to have to scale back his promises ... now he's going to have to backdate them." 	a lot of baloney	https://www.huffingtonpost.ca/2015/09/16/baloney-meter-lunchmeat-abounds-as-leaders-spar-over-deficits-surpluses_n_8145160.html?utm_hp_ref=ca-baloney-meter	None	None	Liberal Leader Justin Trudeau on Monday.	Bruce Cheadle, The Canadian Press	None	Trudeau's Deficit Claim Contains 'A Lot Of Baloney'	09/16/2015 08:16 EDT	None	['Canada', 'Stephen_Harper']
huca-00035	 "Despite Stephen Harper's tough-on-crime rhetoric, the number of police officers in Canada declined every year from 2010 to 2014. Stephen Harper's plan isn't working."	some baloney	https://www.huffingtonpost.ca/2015/08/20/baloney-meter-mulcair-says-police-numbers-on-decline-under-harper_n_8014438.html?utm_hp_ref=ca-baloney-meter	None	None	more than doubling to $13.5 billion since 2000	Joan Bryden, The Canadian Press	None	Mulcair's Claim About Police Numbers Under Harper Contains 'Some Baloney'	08/20/2015 08:01 EDT	the number of police officers in Canada declined every year from 2010 to 2014. Stephen Harper's plan isn't working."	['Stephen_Harper', 'Canada']
huca-00015	 "Mali is a war zone. This is a combat mission and there is no peace to keep."	a lot of baloney	https://www.huffingtonpost.ca/2018/03/22/canada-mali-mission-un-tories-baloney-meter_a_23392548/?utm_hp_ref=ca-baloney-meter	None	None	Conservative defence critic James Bezan	None	None	Tories Dishing 'A Lot Of Baloney' On Canada's Peacekeeping Mission To Mali	03/22/2018 10:11 EDT	None	['None']
huca-00002	 "Our plan — to invest in people, to strengthen and grow the middle class, and to build an economy that works for everyone — is working. By this time next year, a typical family of four will be $2,000 better off under our plan." 	a little baloney	https://www.huffingtonpost.ca/2018/09/22/bill-morneau-canada-child-benefit_a_23538210/?utm_hp_ref=ca-baloney-meter	None	None	Finance Minister Bill Morneau.	Mia Rabson	None	Morneau Dishing A 'Little Baloney' With Claim Families Wealthier Under Liberals	09/22/2018 16:27 EDT	None	['None']
huca-00024	 "Sadly, I can confirm that the previous government removed the promised additional funding for First Nations education that it had promised, and which the previous minister confirmed in the House, in committee of the whole, that the money was still there in the fiscal framework." 	a little baloney	https://www.huffingtonpost.ca/2016/03/16/baloney-meter-did-the-previous-government-remove-first-nations-education-money_n_9476218.html?utm_hp_ref=ca-baloney-meter	None	None	Indigenous Affairs Minister Carolyn Bennett	Kristy Kirkup, The Canadian Press	None	Liberal Claim On Tories' First Nations Education Funding Contains 'A Little Baloney'	03/16/2016 09:57 EDT	2016.	['None']
huca-00031	 I know that for sure."	a lot of baloney	https://www.huffingtonpost.ca/2014/05/30/ontario-election-2014-ndp-savings-baloney_n_5416599.html?utm_hp_ref=ca-baloney-meter	None	None	Ontario NDP Leader Andrea Horwath	Steve Rennie, The Canadian Press	None	Ontario Election 2014: NDP Vow To Find $600M In Savings Full Of Baloney?	05/30/2014 07:30 EDT	None	['None']
huca-00020	 "No government in the history of Canada has invested as much in public transit as we have." 	a little baloney	https://www.huffingtonpost.ca/2017/04/05/trudeau-transit-investment-baloney_n_15828056.html?utm_hp_ref=ca-baloney-meter	None	None	Prime Minister Justin Trudeau	Jordan Press, The Canadian Press	None	Justin Trudeau's Transit Funding Claim Has 'A Little Baloney'	04/05/2017 09:10 EDT	None	['Canada']
huca-00030	 Flyer sent by Veterans Affairs Minister Julian Fantino to residents of Vaughan, Ont., in late July	a lot of baloney	https://www.huffingtonpost.ca/2014/08/14/justin-trudeau-pot-marijuana-baloney_n_5677798.html?utm_hp_ref=ca-baloney-meter	None	None	None	Steve Rennie, The Canadian Press	None	Trudeau's Pot Plan: Are Tory Attacks Full Of Baloney?	08/14/2014 07:30 EDT	in late July	['Ontario', 'Vaughan']
huca-00022	 "It is important to understand that decriminalization does not achieve either of our objectives, which are, one, to keep marijuana out of the reach of young people and two, to take profits out of the hands of organized crime." 	a little baloney	https://www.huffingtonpost.ca/2016/07/07/a-little-baloney-in-claim-decriminalizing-pot-wouldn-t-help-youth-stop-crime_n_10857016.html?utm_hp_ref=ca-baloney-meter	None	None	Michel Picard	Joanna Smith, The Canadian Press	None	Decriminalizing Pot Won't Help Youth, Stop Crime? There's 'A Little Baloney' In Liberal Claim	07/07/2016 10:48 EDT	parliamentary secretary to the minister of public safety.	['None']
huca-00014	 "The reasons we set the minimum age of 18 are because we recognize that Canadian youth between the ages of 15 and 24 are among the highest users of cannabis in all developed countries. So we recognized that if we went with a higher age for a minimum age, we would not divert them from getting out of the black market. We wanted to make sure we did all we could because we want to prevent that from happening."	a little baloney	https://www.huffingtonpost.ca/2018/04/19/liberals-pot-youth-baloney-meter_a_23415425/?utm_hp_ref=ca-baloney-meter	None	None	Health Minister Ginette Petitpas Taylor	None	None	Liberals Dishing 'A Little Baloney' With Claim About How Much Young Canadians Love Pot	04/19/2018 11:42 EDT	we would not divert them from getting out of the black market. We wanted to make sure we did all we could because we want to prevent that from happening."	['Canada']
huca-00018	 "Further protracted proceedings in the civil suit would add millions more in costs beyond the $5 million already accumulated and not including the damage claim itself of another $20 million in a case with virtually no chance of success."	a little baloney	https://www.huffingtonpost.ca/2017/07/13/liberal-claim-that-omar-khadr-lawsuit-couldnt-be-stopped-contai_a_23028045/?utm_hp_ref=ca-baloney-meter	None	None	Public Safety Minister Ralph Goodale	Lee Berthiaume	None	Liberal Claim That Omar Khadr Lawsuit Couldn't Be Stopped Contains 'A Little Baloney'	07/13/2017 09:47 EDT	None	['None']
huca-00017	 "Our investments have already yielded results. We are on track to recuperate $25 billion from our efforts against tax avoidance and tax evasion." 	a lot of baloney	https://www.huffingtonpost.ca/2017/11/16/trudeau-dishing-a-lot-of-baloney-with-claim-on-tax-cheats_a_23279550/?utm_hp_ref=ca-baloney-meter	None	None	Prime Minister Justin Trudeau.	None	None	Trudeau Dishing 'A Lot Of Baloney' With Claim On Tax Cheats	11/16/2017 09:57 EST	None	['None']
huca-00001	 "We are moving forward to ensure that we keep ... cannabis out of the hands of young people."	a lot of baloney	https://www.huffingtonpost.ca/2017/05/04/jody-wilson-raybould-pot-plan-baloney-meter_n_16409686.html?utm_hp_ref=ca-baloney-meter	None	None	Justice Minister Jody Wilson-Raybould on May 1	Kristy Kirkup, The Canadian Press	None	Jody Wilson-Raybould's Claim About Pot Plan Contains 'A Lot Of Baloney'	05/04/2017 11:13 EDT	None	['None']
huca-00032	 "He's not giving shipbuilding anything; he's merely talking about cratering our aerospace industry, which is, as I say, bad policy.... I don't understand where they're going with this." 	a lot of baloney	https://www.huffingtonpost.ca/2015/09/22/baloney-meter-will-cancelling-f-35-crater-the-canadian-aerospace-industry_n_8175680.html?utm_hp_ref=ca-baloney-meter	None	None	Conservative Leader Stephen Harper on Liberal Leader Justin Trudeau's promise to scrap the F-35 stealth fighter program and channel the savings into naval shipbuilding.	Murray Brewster, The Canadian Press	None	Harper's Claim F-35 Cancellation Will 'Crater' Aerospace Industry 'A Lot Of Baloney'	09/22/2015 09:03 EDT	None	['None']
huca-00029	 Paul Dewar, NDP foreign affairs critic.	some baloney	https://www.huffingtonpost.ca/2015/01/15/canada-syria-muslim-refugees-baloney-meter_n_6477480.html?utm_hp_ref=ca-baloney-meter	None	None	that they are going to take the single woman and prioritize the resettlement need over the religious need."	Stephanie Levitz, The Canadian Press	None	Does Canada's Refugee Policy Really Discriminate Against Syrian Muslims?	01/15/2015 07:30 EST	NDP foreign affairs critic.	['Paul_Dewar']
