clck-00010	the real atmosphere is less sensitive to CO2 than what has been forecast by climate models	incorrect	https://climatefeedback.org/claimreview/prof-john-christy-incorrectly-claims-to-show-climate-models-are-too-sensitive-to-carbon-dioxide/	None	None	None	None	None	Prof. John Christy incorrectly claims to show climate models are too sensitive to carbon dioxide	[' The Daily Caller, 29 Nov. 2017 \xa0 ']	None	['None']
clck-00042	Increased atmospheric carbon dioxide has helped raise global food production and reduce poverty.	unsupported	https://climatefeedback.org/claimreview/wall-street-journal-op-ed-ignores-evidence-negative-impacts-increasing-co2/	None	None	None	None	None	Wall Street Journal op-ed ignores evidence of negative impacts of increasing CO2	[' Rodney Nichols, The Wall Street Journal, 31 Oct. 2016 \xa0 ']	None	['None']
clck-00025	Melting of Arctic sea ice and polar icecaps is not occurring at ‘unnatural’ rates and does not constitute evidence of a human impact on the climate.	incorrect	https://climatefeedback.org/claimreview/heartland-institute-report-incorrectly-claims-no-evidence-human-impacts-melting-ice/	None	None	None	None	None	Heartland Institute report incorrectly claims no evidence of human impacts in melting ice	[' Fred Singer, Robert Carter, Heartland Institute, 2016 \xa0 ']	None	['Arctic']
clck-00021	Forward projections of solar cyclicity imply the next few decades may be marked by global cooling rather than warming, despite continuing CO2 emissions.	incorrect	https://climatefeedback.org/claimreview/lull-solar-activity-little-effect-global-temperatures-claims-global-cooling-not-based-science/	None	None	None	None	None	A lull in solar activity would have little effect on global temperatures; claims of “global cooling” are not based on science	[' Fred Singer, Robert Carter, Heartland Institute, 2016 \xa0 ']	None	['None']
clck-00024	[climate models] systematically over-estimate the sensitivity of climate to carbon dioxide ... and modelers exclude forcings and feedbacks that run counter to their mission	incorrect	https://climatefeedback.org/claimreview/heartland-institute-reports-claim-climate-models-sensitive-co2-not-reflect-evidence/	None	None	None	None	None	Heartland Institute report’s claim that climate models are too sensitive to CO2 does not reflect evidence	[' Fred Singer, Robert Carter, Heartland Institute, 2016 \xa0 ']	None	['None']
clck-00029	The temperature is not rising nearly as fast as the alarmist computer models predicted. You know, it’s much, much less, factors of 2 or 3 less.	incorrect	https://climatefeedback.org/claimreview/cnn-interview-william-happer-incorrectly-claims-temperatures-dont-match-climate-model-projections/	None	None	None	None	None	In CNN interview, William Happer incorrectly claims temperatures don’t match climate model projections	[' CNN, 22 April 2017 \xa0 ']	None	['None']
clck-00017	Trump's action could push the Earth over the brink, to become like Venus, with a temperature of two hundred and fifty degrees, and raining sulphuric acid.	incorrect	https://climatefeedback.org/claimreview/earth-is-not-at-risk-of-becoming-a-hothouse-like-venus-as-stephen-hawking-claimed-bbc/	None	None	None	None	None	Earth is not at risk of becoming a hothouse like Venus, as Stephen Hawking claimed	[' BBC, 2 July 2017 \xa0 ']	None	['Venus']
clck-00020	Neither the rate nor the magnitude of the reported late twentieth century surface warming (1979–2000) lay outside normal natural variability.	misleading	https://climatefeedback.org/claimreview/natural-variability-can-not-explain-modern-global-warming-heartland-institute-report-claims/	None	None	None	None	None	Natural variability can not explain modern global warming, as Heartland Institute report claims	[' Fred Singer, Robert Carter, Heartland Institute, 2016 \xa0 ']	None	['None']
clck-00018	Most likely the primary control knob [on climate change] is the ocean waters and this environment that we live in.	incorrect	https://climatefeedback.org/claimreview/energy-secretary-rick-perry-incorrectly-claims-co2-not-primary-cause-climate-change/	None	None	None	None	None	Energy Secretary Rick Perry incorrectly claims CO2 is not primary cause of climate change	[' CNBC, 19 June 2017 \xa0 ']	None	['None']
clck-00008	We know that humans have most flourished during times of, what, warming trends. I think there are assumptions made that because the climate is warming, that that is necessarily a bad thing.	unsupported	https://climatefeedback.org/claimreview/epas-scott-pruitt-incorrectly-suggests-climate-change-might-not-bad-thing/	None	None	None	None	None	EPA’s Scott Pruitt incorrectly suggests climate change might not be “a bad thing”	[' KSNV NBC Las Vegas, 6 Feb. 2018 \xa0 ']	None	['None']
clck-00007	NOAA has adjusted past temperatures to look colder than they were and recent temperatures to look warmer than they were.	unsupported	https://climatefeedback.org/claimreview/breitbart-repeats-bloggers-unsupported-claim-noaa-manipulates-data-exaggerate-warming/	None	None	None	None	None	Breitbart repeats blogger’s unsupported claim that NOAA manipulates data to exaggerate warming	[' Breitbart, 20 Feb. 2018 \xa0 ']	None	['None']
clck-00005	Sea-level rise does not seem to depend on ocean temperature, and certainly not on CO2	incorrect	https://climatefeedback.org/claimreview/fred-singer-incorrectly-claims-sea-level-rise-is-not-caused-by-climate-change/	None	None	None	None	None	Fred Singer incorrectly claims sea level rise is not caused by climate change	[' The Wall Street Journal, 15 May 2018 \xa0 ']	None	['None']
clck-00041	El Niño drove record highs in global temperatures suggesting rise may not be down to man-made emissions.	misleading	https://climatefeedback.org/claimreview/daily-mail-claim-2016-global-temperature-record-misleading/	None	None	None	None	None	Daily Mail claim about 2016 global temperature record is misleading	[' Daily Mail, 26 Nov. 2016 \xa0 ']	None	['None']
clck-00002	there is no relationship between temperature and carbon dioxide emissions by ­humans[...] carbon dioxide has had a minuscule effect on global climate	incorrect	https://climatefeedback.org/claimreview/ian-plimer-wrongly-claims-that-carbon-dioxide-emissions-do-not-cause-climate-change/	None	None	None	None	None	Ian Plimer wrongly claims that carbon dioxide emissions do not cause climate change	[' The Australian, 7 Aug. 2018 \xa0 ']	None	['None']
clck-00028	Doubling the concentration of atmospheric CO2 from its pre-industrial level, in the absence of other forcings and feedbacks, would likely cause a warming of ~0.3°C to 1.1°C	misleading	https://climatefeedback.org/claimreview/climate-sensitivity-estimate-given-in-heartland-institutes-report-is-misleading/	None	None	None	None	None	Climate sensitivity estimate given in Heartland Institute’s report is misleading	[' Fred Singer, Robert Carter, Heartland Institute, 2017 \xa0 ']	None	['None']
clck-00031	Climate projections using models based on it [the water vapor feedback] have consistently failed	unsupported	https://climatefeedback.org/claimreview/boston-globe-column-claims-climate-models-consistently-failed-based-no-evidence/	None	None	None	None	None	Boston Globe column claims that climate models have consistently failed based on no evidence	[' The Boston Globe, 14 March 2017 \xa0 ']	None	['None']
clck-00033	I would not agree that [carbon dioxide is] a primary contributor to the global warming that we see.	incorrect	https://climatefeedback.org/claimreview/science-shows-humans-primarily-responsible-climate-change-counter-epa-administrator-scott-pruitts-claim/	None	None	None	None	None	Science shows that humans are primarily responsible for climate change, counter to EPA Administrator Scott Pruitt’s claim	[' CNBC, 9 March 2017 \xa0 ']	None	['None']
clck-00036	no one really knows if last year (2016) was a (global temperature) record	unsupported	https://climatefeedback.org/claimreview/wall-street-journal-fails-acknowledge-2016-warmest-year-record/	None	None	None	None	None	The Wall Street Journal fails to acknowledge that 2016 was the warmest year on record	[' The Wall Street Journal, 19 Jan. 2017 \xa0 ']	None	['None']
clck-00027	Solar forcings are not too small to explain twentieth century warming. In fact, their effect could be equal to or greater than the effect of CO2 in the atmosphere.	incorrect	https://climatefeedback.org/claimreview/the-sun-cannot-explain-recent-global-warming-contrary-to-what-heartland-institute-report-claims/	None	None	None	None	None	The Sun cannot explain recent global warming, contrary to what Heartland Institute report claims	[' Fred Singer, Robert Carter, Heartland Institute, 2016 \xa0 ']	None	['None']
clck-00003	The ­atmospheric residency time of carbon dioxide is five years and it is quickly sequestered into plants, marine life, oceans and sediments.	misleading	https://climatefeedback.org/claimreview/ian-plimers-op-ed-incorrectly-claims-human-caused-emissions-are-short-lived/	None	None	None	None	None	Ian Plimer incorrectly claims human-caused emissions are short-lived	[' The Australian, 7 Aug. 2018 \xa0 ']	None	['None']