pose-01269	“I am looking to appoint judges very much in the mold of Justice Scalia. I'm looking for judges — and I've actually picked 20 of them so that people would see.”	promise kept	https://www.politifact.com/truth-o-meter/promises/trumpometer/promise/1360/nominate-someone-his-list-justices-replace-antonin/	None	trumpometer	Donald Trump	None	None	Nominate someone from his list of justices to replace Antonin Scalia	2017-01-17T09:13:13	None	['None']
pose-00945	"We will increase resources for the Commonwealth's Medicaid Fraud Unit at the attorney general's office."	promise kept	https://www.politifact.com/virginia/promises/bob-o-meter/promise/979/increase-resources-to-fight-medicaid-fraud/	None	bob-o-meter	Bob McDonnell	None	None	Increase resources to fight Medicaid fraud	2011-09-09T12:56:22	None	['None']
pose-00270	Will support "additional personnel, infrastructure and technology on the border and at our ports of entry."	compromise	https://www.politifact.com/truth-o-meter/promises/obameter/promise/286/secure-the-borders/	None	obameter	Barack Obama	None	None	Secure the borders	2010-01-07T13:26:53	None	['None']
pose-01081	Rick Kriseman said he would hire an administrator to deal with Midtown, a position that had not been filled since the 2011 firing of former deputy mayor and police chief Goliath Davis.	promise kept	https://www.politifact.com/florida/promises/krise-o-meter/promise/1164/hire-administrator-oversee-midtown-issues/	None	krise-o-meter	Rick Kriseman	None	None	Hire an administrator to oversee Midtown issues	2013-12-31T12:20:56	None	['None']
pose-00262	"Will place a high priority on implementing cooperative projects to remove brush, small trees and other overgrown vegetation that serve as fuel for wildfires. Barack Obama will focus the Forest Service and Bureau of Land Management's efforts on working with local communities on hazardous fuels projects to make communities safer and forests healthier."	promise kept	https://www.politifact.com/truth-o-meter/promises/obameter/promise/278/remove-more-brush-small-trees-and-vegetation-that/	None	obameter	Barack Obama	None	None	Remove more brush, small trees and vegetation that fuel wildfires	2010-01-07T13:26:53	None	['United_States_Forest_Service', 'Barack_Obama']
pose-00076	Government "must invest in ... modernizing our physical structures, particularly our public health laboratories."	promise kept	https://www.politifact.com/truth-o-meter/promises/obameter/promise/79/modernize-public-health-buildings/	None	obameter	Barack Obama	None	None	Modernize public health buildings	2010-01-07T13:26:47	None	['None']
pose-00295	"Will create a Homeowner Obligation Made Explicit (HOME) score, which will provide potential borrowers with a simplified, standardized borrower metric (similar to APR) for home mortgages. The HOME score will allow Americans to easily compare various mortgage products and understand the full cost of the loan. The HOME score would also help borrowers understand their long-term obligations and would be required to include mandatory taxes and insurance."	promise kept	https://www.politifact.com/truth-o-meter/promises/obameter/promise/312/create-a-homeowner-obligation-made-explicit/	None	obameter	Barack Obama	None	None	Create a Homeowner Obligation Made Explicit (HOME) score for mortgage comparisons	2010-01-07T13:26:54	None	['United_States']
pose-01044	"I will ask them (an appointed committee) to submit their recommendations no later than April 2, 2014, with the goal of having a final design in place within the first nine months of my administration."	promise broken	https://www.politifact.com/florida/promises/krise-o-meter/promise/1125/have-pier-task-force-recommendations-april-2014/	None	krise-o-meter	Rick Kriseman	None	None	Have pier task force recommendations by April 2014	2013-12-31T12:13:39	None	['None']
pose-00131	"Consisting of experts and family representatives from each service, it would help identify and develop actionable policies to ease the burden on spouses and families. The board would provide an institutionalized conduit (presently missing) for the evolving concerns of military families to be brought to the attention of senior policymakers and the public."	promise kept	https://www.politifact.com/truth-o-meter/promises/obameter/promise/139/create-a-military-families-advisory-board/	None	obameter	Barack Obama	None	None	Create a military families advisory board	2010-01-07T13:26:49	None	['None']
pose-01148	Texas, which also should bar state resources and personnel from enforcing or implementing the Obamacare law, is among states that leave its Obamacare marketplace to the federal government.	promise broken	https://www.politifact.com/texas/promises/abbott-o-meter/promise/1238/bar-state-government-setting-obamacare-marketplace/	None	abbott-o-meter	Greg Abbott	None	None	Bar state government from setting up an Obamacare marketplace/exchange	2015-01-20T14:00:00	None	['Texas', 'Patient_Protection_and_Affordable_Care_Act']
pose-01186	"In addition to incentivizing higher graduation rates, the criteria for performance-based funding should also include metrics to ensure quality of instruction; for instance, universities may receive funding based on the percentage of graduates who are employed within six months of graduating."	promise broken	https://www.politifact.com/texas/promises/abbott-o-meter/promise/1276/tie-some-college-and-university-funding-student-su/	None	abbott-o-meter	Greg Abbott	None	None	Tie some college and university funding to student success indicators	2015-01-20T14:00:00	None	['None']
pose-00513	"As part of my Emergency Jobs Plan, I will issue an executive order on my first day in office, creating this commission, directing it to meet within one week, and giving it the authority to access the books of all state agencies and go through them line-by-line. I will appoint a tough, private-sector chairman who will bring common sense to government spending and ensure that taxpayer money is being spent efficiently and effectively."	promise kept	https://www.politifact.com/wisconsin/promises/walk-o-meter/promise/533/create-and-convene-waste-fraud-and-abuse-commis/	None	walk-o-meter	Scott Walker	None	None	Create and convene "Waste, Fraud and Abuse" Commission	2010-12-20T23:16:36	None	['None']
pose-00950	"Bob McDonnell will have legislation introduced that requires disclosure of the specific bills and procurement matters that lobbyists are working on, as well as information about entertainment expenses related to those matters."	compromise	https://www.politifact.com/virginia/promises/bob-o-meter/promise/984/expand-lobbyist-disclosure/	None	bob-o-meter	Bob McDonnell	None	None	Expand lobbyist disclosure	2011-09-09T12:56:22	None	['None']
pose-00546	Will end social promotion for third-graders who cannot read. "Today, 33% of Wisconsin fourth graders cannot read at even a basic level – proof that Wisconsin’s educational system is failing our children. To turn things around, we have to put an end to social promotion for students who cannot read at the end of third grade."	compromise	https://www.politifact.com/wisconsin/promises/walk-o-meter/promise/569/end-social-promotion-for-third-graders-who-cannot/	None	walk-o-meter	Scott Walker	None	None	End social promotion for third-graders who cannot read	2013-10-29T16:37:44	None	['Wisconsin']
pose-00282	Will sign into law the Equal Remedies Act of 2007 "to do away with the caps on compensatory and punitive damages under Title VII that presently impede the ability of victims of racial and gender discrimination to fully recover for the wrongs they have suffered."	promise broken	https://www.politifact.com/truth-o-meter/promises/obameter/promise/298/eliminate-caps-on-damages-for-discrimination-cases/	None	obameter	Barack Obama	None	None	Eliminate caps on damages for discrimination cases	2010-01-07T13:26:54	None	['None']
pose-00239	"Will expand mentoring programs that pair experienced teachers with new recruits. They will also provide incentives to give teachers paid common planning time so they can collaborate to share best practices."	promise kept	https://www.politifact.com/truth-o-meter/promises/obameter/promise/255/expand-teacher-mentoring-programs-and-provide-ince/	None	obameter	Barack Obama	None	None	Expand teacher mentoring programs and provide incentives for more planning time	2010-01-07T13:26:53	None	['None']
pose-00294	"Will reform the Telephone Universal Service Program, direct the FCC to better manage the nation's airwaves, and encourage public-private partnership to get more low-income communities connected."	promise kept	https://www.politifact.com/truth-o-meter/promises/obameter/promise/311/help-low-income-areas-get-phone-and-internet-servi/	None	obameter	Barack Obama	None	None	Help low-income areas get phone and Internet service	2010-01-07T13:26:54	None	['None']
pose-00559	Will "create a new program called 'Homecoming Wisconsin.' Working with our University’s alumni associations and state agencies, 'Homecoming Wisconsin' will reach out to individuals, families and businesses that have left our state and remind them to 'come on home.' "	compromise	https://www.politifact.com/wisconsin/promises/walk-o-meter/promise/582/create-homecoming-wisconsin-program-to-lure-back/	None	walk-o-meter	Scott Walker	None	None	Create "Homecoming Wisconsin" program to lure back former residents	2010-12-20T23:16:36	None	['Wisconsin']
pose-00859	"Managers from the private sector with expertise in fields such as technology integration, worker productivity, human resources and strategic planning will be invited to loan their talent to the CountyStat task force." Also "They will be accountable to the county executive and report regularly to the public and economic development commission."	in the works	https://www.politifact.com/ohio/promises/fitz-o-meter/promise/891/draw-management-expertise-from-loaned-executives/	None	fitz-o-meter	Ed FitzGerald	None	None	Draw on management expertise from loaned executives	2011-01-20T13:56:11	None	['None']
pose-00925	"I will immediately reduce the Office of the Mayor, currently budgeted at $7.3 million, by 10 percent in order to fill the $730,298 gap created by (Gov. Rick Scott's) veto."	compromise	https://www.politifact.com/florida/promises/carlos-o-meter/promise/957/reduce-office-mayor-10-percent/	None	carlos-o-meter	Carlos Gimenez	None	None	Reduce the office of mayor by 10 percent	2011-07-14T16:11:02	None	['None']
pose-01162	"Using your money to lobby for more of your money is a conflict of interest. It needs to stop. School districts should directly represent the needs of their schools at the Legislature and not waste taxpayer resources on lobbyists."	stalled	https://www.politifact.com/texas/promises/abbott-o-meter/promise/1252/ban-school-districts-hiring-lobbyists-lobby-legisl/	None	abbott-o-meter	Greg Abbott	None	None	Ban school districts from hiring lobbyists to lobby legislators for more funding	2015-01-20T14:00:00	None	['None']
pose-00806	Will promote a constitutional amendment to "require the Legislature to limit growth in the state budget to no more than growth in population and inflation combined."	in the works	https://www.politifact.com/texas/promises/perry-o-meter/promise/838/will-work-for-constitutional-amendment-limiting-gr/	None	perry-o-meter	Rick Perry	None	None	Will work for constitutional amendment limiting growth in budget to changes in population and inflation combined	2012-11-20T10:10:41	None	['None']
pose-00039	Carried interest is a way of compensating executives by giving them ownership stakes, or "interest," in a business. Carried interest is taxed as a capital gain, which has a lower tax rate than ordinary income. Obama proposes taxing carried interest at the same rate as regular income.	promise broken	https://www.politifact.com/truth-o-meter/promises/obameter/promise/42/tax-carried-interest-as-ordinary-income/	None	obameter	Barack Obama	None	None	Tax carried interest as ordinary income	2010-01-07T13:26:46	None	['Barack_Obama']
pose-00533	In a conference call Monday (Nov. 2, 2009) with reporters, Walker said his first budget would undo tax increases approved this year by the Legislature. This year's state budget included increases in business taxes; the capital gains tax; and the income tax for the wealthiest residents. Walker said he would do away with those increases.	compromise	https://www.politifact.com/wisconsin/promises/walk-o-meter/promise/555/repeal-the-2009-increase-in-capital-gains-taxes/	None	walk-o-meter	Scott Walker	None	None	Repeal the 2009 increase in capital gains taxes	2010-12-20T23:16:36	None	['None']
pose-00134	Restore the Deployment Policies Under Which the Reserve and Guard Enlisted: America should recommit to the broken promises made to the men and women who serve in the Guard and Reserves. An Obama administration will: • Limit lengthy deployments to one year for every six years • Restore the 24-month limit on cumulative deployment time • End the "Stop-Loss" program of forcing troops to stay in service beyond their expected commitments.	promise kept	https://www.politifact.com/truth-o-meter/promises/obameter/promise/144/end-the-stop-loss-program-of-forcing-troops-to-s/	None	obameter	Barack Obama	None	None	End the "Stop-loss" program of forcing troops to stay in service beyond their expected commitments	2010-01-07T13:26:49	None	['Barack_Obama', 'United_States']
pose-01258	“I’m not going to cut Social Security like every other Republican and I’m not going to cut Medicare or Medicaid.”	stalled	https://www.politifact.com/truth-o-meter/promises/trumpometer/promise/1349/make-no-cuts-social-security/	None	trumpometer	Donald Trump	None	None	Make no cuts to Social Security	2017-01-17T08:30:39	None	['Medicare_(United_States)', 'Republican_Party_(United_States)']
pose-00797	"Texas will continue to live within its means, and under my leadership, we will do it without a tax increase."	promise kept	https://www.politifact.com/texas/promises/perry-o-meter/promise/828/balance-the-budget-without-a-tax-increase/	None	perry-o-meter	Rick Perry	None	None	Balance the budget without a tax increase	2011-01-13T12:33:38	None	['Texas']
pose-01360	"Following unprecedented rainfall, decades of neglect, and compromised capacity, St. Petersburg’s sewer system was overwhelmed in 2015-2016. The Kriseman Infrastructure Plan calls for more than $300 million to repair and upgrade our system."	not yet rated	https://www.politifact.com/florida/promises/krise-o-meter/promise/1452/nvest-more-300-million-upgrade-citys-sewer-system/	None	krise-o-meter	Rick Kriseman	None	None	nvest more than $300 million to upgrade the city’s sewer system	2018-01-02T12:30:40	None	['None']
pose-00597	"Rick will fight to ensure than any future offshore drilling does not negatively impact Florida's beaches. As we explore the expansion of domestic drilling in the U.S., we must ensure that we have sound policies in place that ensure the companies drilling are doing so in an environmentally sound way and adhering to the strictest of safety standards."	promise broken	https://www.politifact.com/florida/promises/scott-o-meter/promise/621/explore-expansion-of-domestic-drilling-in-a-safe/	None	scott-o-meter	Rick Scott	None	None	Explore expansion of domestic drilling in a safe, environmentally sound way	2011-12-29T14:58:48	None	['United_States']
pose-00813	Offer businesses a tax incentive of $1,500 for each full-time employee who earns a high school diploma or GED. Business would be required to grant their employees two hours a week of paid time off to study or attend class.	promise broken	https://www.politifact.com/texas/promises/perry-o-meter/promise/845/provide-business-tax-credit-to-help-workers-get-hi/	None	perry-o-meter	Rick Perry	None	None	Provide business tax credit to help workers get high-school diplomas	2011-01-13T12:33:38	None	['General_Educational_Development']
pose-01124	"Be No. 1 in the nation for student performance by expecting all of our students to perform at or above grade level in math and reading."	stalled	https://www.politifact.com/florida/promises/scott-o-meter/promise/1210/be-no-1-nation-student-performance-reading-and-mat/	None	scott-o-meter	Rick Scott	None	None	Be No. 1 in nation for student performance in reading and math	2014-12-30T10:49:04	None	['None']
pose-01273	"We are going to ask every department head and government to provide a list of wasteful spending projects that we can eliminate in my first 100 days."	in the works	https://www.politifact.com/truth-o-meter/promises/trumpometer/promise/1364/eliminate-wasteful-spending-every-department/	None	trumpometer	Donald Trump	None	None	Eliminate wasteful spending in every department	2017-01-17T08:50:47	None	['None']
pose-00529	Will lower the income tax. "I want to lower the tax on employers, lower the tax on income, freeze property taxes and phase out retirement income taxes. States that have a lower tax burden have more jobs and better budgets, and its time Wisconsin was a better state to do business.”	promise kept	https://www.politifact.com/wisconsin/promises/walk-o-meter/promise/550/lower-the-income-tax/	None	walk-o-meter	Scott Walker	None	None	Lower the income tax	2010-12-20T23:16:36	None	['Wisconsin']
pose-01361	"For the first time, the city is comprehensively developing an Integrated Sustainability Action Plan (ISAP). The purpose of the ISAP is to advance the city's sustainability & resiliency initiatives including 100% clean energy goals."	not yet rated	https://www.politifact.com/florida/promises/krise-o-meter/promise/1453/facilitate-citys-transition-100-percent-clean-ener/	None	krise-o-meter	Rick Kriseman	None	None	Facilitate the city’s transition to 100 percent clean energy	2018-01-02T12:35:10	None	['None']
pose-00498	"The exchange will require that all the plans offered are at least as generous as the new public plan and meet the same standards for quality and efficiency."	promise broken	https://www.politifact.com/truth-o-meter/promises/obameter/promise/518/create-public-option-health-plan-new-national-heal/	None	obameter	Barack Obama	None	None	Create a public option health plan for a new National Health Insurance Exchange.	2010-01-07T13:27:01	None	['None']
pose-00782	"Nathan Deal will work to eliminate this regressive tax to allow businesses to grow absent this additional burden and layer of taxation by allowing local governments to elect to extend current Freeport exemptions to more goods, regardless of who holds the inventory or the destination to which it is shipped."	not yet rated	https://www.politifact.com/georgia/promises/deal-o-meter/promise/812/eliminate-business-inventory-tax/	None	deal-o-meter	Nathan Deal	None	None	Eliminate business inventory tax	2011-01-06T16:27:46	None	['Nathan_Deal']
pose-01313	"On my first day in office, I am also going to ask Congress to pass 'Kate’s Law' – named for Kate Steinle – to ensure that criminal aliens convicted of illegal re-entry receive strong mandatory minimum sentences."	in the works	https://www.politifact.com/truth-o-meter/promises/trumpometer/promise/1405/have-mandatory-minimum-sentences-criminals-caught-/	None	trumpometer	Donald Trump	None	None	Have mandatory minimum sentences for criminals caught trying to enter the United States illegally	2017-01-17T09:11:52	None	['United_States_Congress']
pose-00562	Will stop Milwaukee-Madison high-speed rail line. said: "I am drawing a line in the sand Mr. President: No matter how much money you and Governor Doyle try to spend before the end of the year, I will put a stop to this boondoggle the day I take office."	promise kept	https://www.politifact.com/wisconsin/promises/walk-o-meter/promise/585/stop-milwaukee-to-madison-high-speed-rail-link-on/	None	walk-o-meter	Scott Walker	None	None	Stop Milwaukee to Madison high-speed rail link on first day in office	2010-12-20T23:16:36	None	['None']
pose-00976	Virginia has four different types of publications to help create and expand a business...As governor, Bob McDonnell will combine all resources into one updated manual.	compromise	https://www.politifact.com/virginia/promises/bob-o-meter/promise/1011/consolidate-guides-for-business-creation-and-expan/	None	bob-o-meter	Bob McDonnell	None	None	Consolidate guides for business creation and expansion	2011-09-09T12:56:22	None	['Bob_McDonnell']
pose-00331	"Will expand the use of prizes for revolutionary technical achievements that can benefit society, and funds for joint industry/government rapid-to-the-consumer technology advances."	promise kept	https://www.politifact.com/truth-o-meter/promises/obameter/promise/348/offer-prizes-for-advances-in-consumer-technology/	None	obameter	Barack Obama	None	None	Offer prizes for advances in consumer technology	2010-01-07T13:26:55	None	['None']
pose-00108	Expand the number of "centers of excellence for Traumatic Brain Injury (TBI), PTSD, vision impairment, prosthetics, spinal cord injury, aging, women's health and other specialized rehabilitative care."	promise kept	https://www.politifact.com/truth-o-meter/promises/obameter/promise/113/expand-the-veterans-administrations-number-of-ce/	None	obameter	Barack Obama	None	None	Expand the Veterans Administration's number of "centers of excellence" in specialty care	2010-01-07T13:26:48	None	['Traumatic_brain_injury', 'Posttraumatic_stress_disorder']
pose-00722	Will "institute an aggressive water measurement program and water user education program geared toward 'water rights and responsibilities.'"	in the works	https://www.politifact.com/oregon/promises/kitz-o-meter/promise/752/create-water-measurement-program/	None	kitz-o-meter	John Kitzhaber	None	None	Create water measurement program	2011-01-04T21:58:42	None	['None']
pose-01291	"We will build a Navy of 350 surface ships and submarines as recommended by the bipartisan National Defense Panel."	in the works	https://www.politifact.com/truth-o-meter/promises/trumpometer/promise/1383/rebuild-us-navy-toward-goal-350-ships/	None	trumpometer	Donald Trump	None	None	Rebuild the U.S. Navy toward the goal of 350 ships	2017-01-17T09:03:46	None	['None']
pose-00299	"Will further raise the minimum wage to $9.50 an hour by 2011, index it to inflation and increase the Earned Income Tax Credit to make sure that full-time workers can earn a living wage that allows them to raise their families and pay for basic needs such as food, transportation, and housing."	promise broken	https://www.politifact.com/truth-o-meter/promises/obameter/promise/316/increase-the-minimum-wage-to-950-an-hour/	None	obameter	Barack Obama	None	None	Increase the minimum wage to $9.50 an hour	2010-01-07T13:26:54	None	['None']
pose-00120	On "my first day in office, I would give the military a new mission: ending this war".	promise kept	https://www.politifact.com/truth-o-meter/promises/obameter/promise/125/direct-military-leaders-to-end-war-in-iraq/	None	obameter	Barack Obama	None	None	Direct military leaders to end war in Iraq	2010-01-07T13:26:49	None	['None']
